,start station name,end station name,tripduration,usertype,gender
157484,1 Ave & E 18 St,8 Ave & W 31 St N,354,Subscriber,2
236531,W 52 St & 11 Ave,6 Ave & W 33 St,530,Subscriber,1
179793,2 Ave & E 58 St,Broadway & E 22 St,1740,Subscriber,1
402779,Broadway & E 22 St,E 10 St & Avenue A,526,Subscriber,1
538175,Front St & Washington St,State St & Smith St,1363,Subscriber,1
457390,Cliff St & Fulton St,Washington St & Gansevoort St,1476,Subscriber,1
32353,Duane St & Greenwich St,West Thames St,713,Subscriber,1
390656,E 23 St & 1 Ave,W 56 St & 6 Ave,1299,Subscriber,1
412130,Fulton St & Washington Ave,Monroe St & Bedford Ave,906,Subscriber,1
507719,Henry St & Atlantic Ave,Bond St & Schermerhorn St,558,Subscriber,2
492457,Little West St & 1 Pl,Metropolitan Ave & Bedford Ave,2027,Subscriber,1
457121,Centre St & Worth St,W 4 St & 7 Ave S,1197,Subscriber,2
496123,W 39 St & 9 Ave,Cadman Plaza West & Montague St,751,Subscriber,1
477282,Mercer St & Spring St,,894,Subscriber,1
94020,West Thames St,West Thames St,1665,Subscriber,2
294943,Broadway & W 38 St,E 5 St & Avenue C,1168,Subscriber,1
126569,E 20 St & 2 Ave,W 41 St & 8 Ave,1161,Subscriber,1
273448,Mercer St & Bleecker St S,W 53 St & 10 Ave,1623,Subscriber,1
493485,E 31 St & 3 Ave,Broadway & W 24 St,644,Subscriber,1
96101,Barclay St & Church St,William St & Pine St,295,Subscriber,1
234166,Pike St & E Broadway,Columbia St & Rivington St,358,Subscriber,2
431324,E 11 St & Broadway,W 56 St & 10 Ave,619,Subscriber,1
574123,Pitt St & Stanton St,E 27 St & 1 Ave,1014,Subscriber,1
518367,Suffolk St & Stanton St,Mott St & Prince St,469,Subscriber,1
173335,St Marks Pl & 2 Ave,1 Ave & E 30 St,430,Subscriber,1
436362,Centre St & Chambers St,Clinton St & Joralemon St,1021,Subscriber,1
157558,MacDougal St & Prince St,Christopher St & Greenwich St,322,Subscriber,1
482127,E 58 St & 3 Ave,Broadway & W 38 St,1556,Subscriber,1
209321,1 Ave & E 30 St,E 39 St & 3 Ave,272,Subscriber,1
358283,Allen St & Hester St,Bayard St & Baxter St,541,Subscriber,1
310543,E 11 St & 2 Ave,W 13 St & 7 Ave,501,Subscriber,2
63392,E 39 St & 2 Ave,E 13 St & Avenue A,1060,Subscriber,2
107845,Bayard St & Baxter St,E 7 St & Avenue A,246,Subscriber,1
463989,Vesey Pl & River Terrace,West Thames St,298,Subscriber,1
465690,Washington Square E,8 Ave & W 31 St N,879,Subscriber,1
520430,E 51 St & Lexington Ave,Broadway & W 29 St,491,Subscriber,1
146152,W 27 St & 7 Ave,10 Ave & W 28 St,385,Subscriber,1
474139,University Pl & E 14 St,E 39 St & 3 Ave,475,Subscriber,1
177263,5 Ave & E 29 St,E 56 St & 3 Ave,910,Subscriber,1
205270,Front St & Gold St,State St & Smith St,1094,Subscriber,2
385081,Reade St & Broadway,Greenwich St & Warren St,181,Subscriber,1
447760,W 21 St & 6 Ave,W 4 St & 7 Ave S,215,Subscriber,1
302092,St Marks Pl & 1 Ave,E 24 St & Park Ave S,1954,Subscriber,1
254347,2 Ave & E 58 St,W 44 St & 5 Ave,543,Subscriber,1
295139,2 Ave & E 58 St,E 25 St & 2 Ave,392,Subscriber,1
506380,W 17 St & 8 Ave,W 16 St & The High Line,215,Subscriber,1
246847,W 45 St & 6 Ave (1),W 51 St & 6 Ave,171,Subscriber,1
369704,E 60 St & York Ave,E 53 St & Madison Ave,1077,Subscriber,1
486443,Old Slip & Front St,Cherry St,1497,Subscriber,2
430591,W 25 St & 6 Ave,W 22 St & 8 Ave,702,Subscriber,1
454897,Washington Ave & Greene Ave,Atlantic Ave & Fort Greene Pl,396,Subscriber,1
565955,E 11 St & 2 Ave,1 Ave & E 30 St,475,Subscriber,1
465871,Pearl St & Hanover Square,E 2 St & Avenue B,1811,Subscriber,2
353405,E 39 St & 2 Ave,E 17 St & Broadway,840,Subscriber,1
110473,Bank St & Hudson St,Broadway & E 22 St,804,Subscriber,1
211497,W 14 St & The High Line,,833,Subscriber,2
27954,West Thames St,Greenwich St & North Moore St,673,Subscriber,2
433811,W 26 St & 10 Ave,Lafayette St & E 8 St,1251,Subscriber,1
399486,W 4 St & 7 Ave S,Mercer St & Bleecker St S,334,Subscriber,1
566392,W 14 St & The High Line,W 56 St & 6 Ave,466,Subscriber,1
344819,W Broadway & Spring St,Carlton Ave & Park Ave,558,Subscriber,1
64188,Grand St & Havemeyer St,Duane St & Greenwich St,893,Subscriber,1
554429,E 10 St & Avenue A,W Broadway & Spring St,800,Subscriber,1
244314,E 4 St & 2 Ave,E 24 St & Park Ave S,517,Subscriber,1
403202,E 27 St & 1 Ave,Broadway & Battery Pl,1830,Subscriber,1
169785,E 10 St & Avenue A,Broadway & E 14 St,463,Subscriber,1
516352,Lexington Ave & E 24 St,Avenue D & E 3 St,702,Subscriber,1
540686,Central Park S & 6 Ave,Forsyth St & Canal St,1823,Subscriber,1
262231,John St & William St,Centre St & Worth St,364,Subscriber,1
368810,W 37 St & 10 Ave,8 Ave & W 33 St,343,Subscriber,1
518715,Centre St & Chambers St,E 2 St & Avenue B,880,Subscriber,1
24048,Bayard St & Baxter St,Clinton St & Grand St,36370,Subscriber,1
278890,6 Ave & Broome St,E 45 St & 3 Ave,578,Subscriber,1
126425,E 11 St & Broadway,,1198,Subscriber,1
418042,Washington Ave & Greene Ave,Clinton Ave & Myrtle Ave,321,Subscriber,1
220345,W 39 St & 9 Ave,W 31 St & 7 Ave,171,Subscriber,1
219541,E 43 St & Vanderbilt Ave,W 56 St & 10 Ave,760,Subscriber,1
472393,E 13 St & Avenue A,E 39 St & 2 Ave,699,Subscriber,2
320946,Lexington Ave & E 29 St,Lafayette St & E 8 St,570,Subscriber,2
323118,W 17 St & 8 Ave,E 12 St & 3 Ave,612,Subscriber,1
176173,W 20 St & 11 Ave,Barrow St & Hudson St,603,Subscriber,1
527879,8 Ave & W 33 St,Franklin St & W Broadway,572,Subscriber,1
486668,W 56 St & 10 Ave,W 44 St & 5 Ave,527,Subscriber,1
298000,Barrow St & Hudson St,West St & Chambers St,2029,Subscriber,1
255872,1 Ave & E 30 St,E 45 St & 3 Ave,524,Subscriber,2
