,start station name,end station name,tripduration,usertype,gender
334210,Greenwich Ave & Charles St,Bus Slip & State St,1162,Subscriber,1
425829,6 Ave & W 33 St,W 17 St & 8 Ave,621,Subscriber,1
123038,Hudson St & Reade St,Mott St & Prince St,1091,Subscriber,1
517152,11 Ave & W 27 St,Greenwich St & Warren St,658,Subscriber,1
474316,W 29 St & 9 Ave,9 Ave & W 16 St,309,Subscriber,1
467046,W 20 St & 7 Ave,1 Ave & E 16 St,297,Subscriber,1
484642,W 56 St & 6 Ave,Canal St & Rutgers St,830,Subscriber,1
276100,Vesey Pl & River Terrace,8 Ave & W 52 St,745,Subscriber,1
437598,Forsyth St & Canal St,Johnson St & Gold St,955,Subscriber,2
456448,Grand Army Plaza & Central Park S,Broadway & W 58 St,319,Subscriber,1
40769,E 17 St & Broadway,Pike St & E Broadway,1209,Subscriber,1
40369,W 13 St & 6 Ave,John St & William St,2012,Subscriber,2
319565,W 39 St & 9 Ave,E 3 St & 1 Ave,1313,Subscriber,1
258386,Gallatin Pl & Livingston St,W 22 St & 8 Ave,2160,Subscriber,1
489121,6 Ave & Broome St,Mercer St & Spring St,746,Subscriber,1
459259,Cadman Plaza West & Montague St,Leonard St & Church St,990,Subscriber,1
538672,Grand Army Plaza & Central Park S,Lafayette St & Jersey St N,1598,Subscriber,1
40843,Clinton St & Grand St,E 2 St & 2 Ave,1304,Subscriber,1
329422,W 20 St & 8 Ave,E 53 St & Madison Ave,183,Subscriber,1
231502,Broadway & E 22 St,W 21 St & 6 Ave,2466,Subscriber,1
518489,W 43 St & 10 Ave,W 49 St & 8 Ave,254,Subscriber,1
569072,E 24 St & Park Ave S,E 11 St & Broadway,347,Subscriber,1
259496,W 29 St & 9 Ave,9 Ave & W 18 St,280,Subscriber,1
65049,5 Ave & E 29 St,Broadway & Battery Pl,1652,Subscriber,1
341712,FDR Drive & E 35 St,W 52 St & 9 Ave,1573,Subscriber,2
406561,W 25 St & 6 Ave,E 17 St & Broadway,429,Subscriber,2
497896,E 20 St & 2 Ave,E 17 St & Broadway,384,Subscriber,1
505433,Washington Pl & Broadway,Mott St & Prince St,290,Subscriber,1
155100,E 24 St & Park Ave S,E 27 St & 1 Ave,910,Subscriber,1
132887,Fulton St & Grand Ave,Lexington Ave & Classon Ave,291,Subscriber,1
4264,Lawrence St & Willoughby St,Lafayette Ave & Fort Greene Pl,643,Subscriber,1
321641,2 Ave & E 31 St,Rivington St & Chrystie St,937,Subscriber,1
199415,W 22 St & 10 Ave,W 20 St & 7 Ave,1752,Subscriber,1
123555,Hudson St & Reade St,Watts St & Greenwich St,1478,Subscriber,1
13733,E 11 St & 2 Ave,Carmine St & 6 Ave,375,Subscriber,2
458909,6 Ave & Canal St,W 46 St & 11 Ave,1334,Subscriber,1
258263,E 23 St & 1 Ave,E 39 St & 2 Ave,541,Subscriber,1
141010,W 52 St & 5 Ave,Broadway & W 24 St,784,Subscriber,1
76590,Central Park S & 6 Ave,Broadway & E 22 St,267,Subscriber,1
455467,Broadway & W 38 St,W 53 St & 10 Ave,1655,Subscriber,1
304261,E 6 St & Avenue B,2 Ave & E 58 St,521,Subscriber,1
435105,Greenwich St & North Moore St,W 52 St & 11 Ave,1280,Subscriber,2
255196,NYCBS Depot - DEL,Lafayette St & Jersey St N,983,Subscriber,2
10539,E 10 St & 5 Ave,Forsyth St & Broome St,200,Subscriber,1
485447,Little West St & 1 Pl,Mott St & Prince St,646,Subscriber,1
141929,Dean St & 4 Ave,Adelphi St & Myrtle Ave,705,Subscriber,1
71119,8 Ave & W 31 St N,Warren St & Church St,724,Subscriber,1
325126,Great Jones St,University Pl & E 14 St,492,Subscriber,1
362482,St Marks Pl & 2 Ave,E 19 St & 3 Ave,812,Subscriber,1
487326,E 53 St & Lexington Ave,E 52 St & 2 Ave,165,Subscriber,1
428112,W 38 St & 8 Ave,11 Ave & W 59 St,369,Subscriber,1
343391,Elizabeth St & Hester St,,1275,Subscriber,1
558265,E 11 St & 1 Ave,Great Jones St,365,Subscriber,1
200591,Pershing Square South,E 17 St & Broadway,835,Subscriber,2
430520,Broadway & E 14 St,E 14 St & Avenue B,609,Subscriber,2
161770,Fulton St & Rockwell Pl,W 21 St & 6 Ave,1116,Subscriber,1
453235,6 Ave & Broome St,E 24 St & Park Ave S,770,Subscriber,1
256688,6 Ave & Canal St,MacDougal St & Prince St,796,Subscriber,2
